Text,Label,is_alpha,is_numeric,capital_initial,unigram,bigram,trigram,text_length,contain_period,contain_percent,contain_hyphen,contain_word_percent
Sunny Lee,CEO,1,0,1,0,1,0,9,0,0,0,0
Martin Sorrell,CEO,1,0,1,0,1,0,14,0,0,0,0
Mark Murray,CEO,1,0,1,0,1,0,11,0,0,0,0
Marc Bolland,CEO,1,0,1,0,1,0,12,0,0,0,0
Ryo Koyama,CEO,1,0,1,0,1,0,10,0,0,0,0
Anders Elgemyr,CEO,1,0,1,0,1,0,14,0,0,0,0
Igor Sechin,CEO,1,0,1,0,1,0,11,0,0,0,0
Harold Wester,CEO,1,0,1,0,1,0,13,0,0,0,0
Petter Havdal,CEO,1,0,1,0,1,0,13,0,0,0,0
Mark Tibergien,CEO,1,0,1,0,1,0,14,0,0,0,0
Daniel Loeb,CEO,1,0,1,0,1,0,11,0,0,0,0
Kimberly Foss,CEO,1,0,1,0,1,0,13,0,0,0,0
Sascha Lewis,CEO,1,0,1,0,1,0,12,0,0,0,0
Leigh Drogen,CEO,1,0,1,0,1,0,12,0,0,0,0
Brian Walsh,CEO,1,0,1,0,1,0,11,0,0,0,0
Jochen Duemler,CEO,1,0,1,0,1,0,14,0,0,0,0
Larry Fink,CEO,1,0,1,0,1,0,10,0,0,0,0
Jeremy Allaire,CEO,1,0,1,0,1,0,14,0,0,0,0
Ian Taylor,CEO,1,0,1,0,1,0,10,0,0,0,0
Marco Dunand,CEO,1,0,1,0,1,0,12,0,0,0,0
Mark Karpeles,CEO,1,0,1,0,1,0,13,0,0,0,0
Joe Kaeser,CEO,1,0,1,0,1,0,10,0,0,0,0
Paul Browning,CEO,1,0,1,0,1,0,13,0,0,0,0
Reggie Agarwall,CEO,1,0,1,0,1,0,15,0,0,0,0
Laurent Potdevin,CEO,1,0,1,0,1,0,16,0,0,0,0
Kyle Vucko,CEO,1,0,1,0,1,0,10,0,0,0,0
Samantha Shih,CEO,1,0,1,0,1,0,13,0,0,0,0
Mary Barra,CEO,1,0,1,0,1,0,10,0,0,0,0
Walt Bettinger,CEO,1,0,1,0,1,0,14,0,0,0,0
Eric Schmidt,CEO,1,0,1,0,1,0,12,0,0,0,0
Lowell McAdam,CEO,1,0,1,0,1,0,13,0,0,0,0
Jeff Immelt,CEO,1,0,1,0,1,0,11,0,0,0,0
Michael Johnson,CEO,1,0,1,0,1,0,15,0,0,0,0
Steve Schwarzman,CEO,1,0,1,0,1,0,16,0,0,0,0
Clayton Cohn,CEO,1,0,1,0,1,0,12,0,0,0,0
Tim Mrock,CEO,1,0,1,0,1,0,9,0,0,0,0
Bob Diamond,CEO,1,0,1,0,1,0,11,0,0,0,0
Don Blandin,CEO,1,0,1,0,1,0,11,0,0,0,0
Ted Beck,CEO,1,0,1,0,1,0,8,0,0,0,0
John Thain,CEO,1,0,1,0,1,0,10,0,0,0,0
Joseph Nacchio,CEO,1,0,1,0,1,0,14,0,0,0,0
Ken Lin,CEO,1,0,1,0,1,0,7,0,0,0,0
Larry Page,CEO,1,0,1,0,1,0,10,0,0,0,0
Richard Grasso,CEO,1,0,1,0,1,0,14,0,0,0,0
Anand Nallathambi,CEO,1,0,1,0,1,0,17,0,0,0,0
Rupert Murdoch,CEO,1,0,1,0,1,0,14,0,0,0,0
Lloyd Blankfein,CEO,1,0,1,0,1,0,15,0,0,0,0
Mohamed El-Erian,CEO,1,0,1,0,1,0,16,0,0,1,0
Richard Ketchum,CEO,1,0,1,0,1,0,15,0,0,0,0
Kazuo Hirai,CEO,1,0,1,0,1,0,11,0,0,0,0
Fred Smith,CEO,1,0,1,0,1,0,10,0,0,0,0
Sheldon Adelson,CEO,1,0,1,0,1,0,15,0,0,0,0
Masayoshi Son,CEO,1,0,1,0,1,0,13,0,0,0,0
Michael O'Leary,CEO,1,0,1,0,1,0,15,0,0,0,0
Sergio Ermotti,CEO,1,0,1,0,1,0,14,0,0,0,0
Christian Laub,CEO,1,0,1,0,1,0,14,0,0,0,0
David Drumm,CEO,1,0,1,0,1,0,11,0,0,0,0
John Hammergren,CEO,1,0,1,0,1,0,15,0,0,0,0
Mickey Arison,CEO,1,0,1,0,1,0,13,0,0,0,0
Nicholas Kisberg,CEO,1,0,1,0,1,0,16,0,0,0,0
George Zimmer,CEO,1,0,1,0,1,0,13,0,0,0,0
Doug Ewert,CEO,1,0,1,0,1,0,10,0,0,0,0
Bryan Mistele,CEO,1,0,1,0,1,0,13,0,0,0,0
Jon Corzine,CEO,1,0,1,0,1,0,11,0,0,0,0
Lucas Duplan,CEO,1,0,1,0,1,0,12,0,0,0,0
Marc Benioff,CEO,1,0,1,0,1,0,12,0,0,0,0
Peter Schiff,CEO,1,0,1,0,1,0,12,0,0,0,0
Joel Horowitz,CEO,1,0,1,0,1,0,13,0,0,0,0
Travis Tygart,CEO,1,0,1,0,1,0,13,0,0,0,0
Eike Batista,CEO,1,0,1,0,1,0,12,0,0,0,0
Christine Day,CEO,1,0,1,0,1,0,13,0,0,0,0
James Fox,CEO,1,0,1,0,1,0,9,0,0,0,0
Richard Branson,CEO,1,0,1,0,1,0,15,0,0,0,0
Tom Joyce,CEO,1,0,1,0,1,0,9,0,0,0,0
Dan Porter,CEO,1,0,1,0,1,0,10,0,0,0,0
Dan Gilbert,CEO,1,0,1,0,1,0,11,0,0,0,0
Elon Musk,CEO,1,0,1,0,1,0,9,0,0,0,0
Gary Guthart,CEO,1,0,1,0,1,0,12,0,0,0,0
Klaus Kleinfeld,CEO,1,0,1,0,1,0,15,0,0,0,0
Ron Johnson,CEO,1,0,1,0,1,0,11,0,0,0,0
Sandy Weill,CEO,1,0,1,0,1,0,11,0,0,0,0
Peter Newcomb,CEO,1,0,1,0,1,0,13,0,0,0,0
David Sadigh,CEO,1,0,1,0,1,0,12,0,0,0,0
Roger Ferguson,CEO,1,0,1,0,1,0,14,0,0,0,0
Barry Norris,CEO,1,0,1,0,1,0,12,0,0,0,0
Eddie Lampert,CEO,1,0,1,0,1,0,13,0,0,0,0
Philippe Laffont,CEO,1,0,1,0,1,0,16,0,0,0,0
Daniel Nadler,CEO,1,0,1,0,1,0,13,0,0,0,0
Brian Moynihan,CEO,1,0,1,0,1,0,14,0,0,0,0
Michael Nathanson,CEO,1,0,1,0,1,0,17,0,0,0,0
Cole Wilcox,CEO,1,0,1,0,1,0,11,0,0,0,0
Marissa Mayer,CEO,1,0,1,0,1,0,13,0,0,0,0
Brian Krzanich,CEO,1,0,1,0,1,0,14,0,0,0,0
Nelson Peltz,CEO,1,0,1,0,1,0,12,0,0,0,0
Jamie Dimon,CEO,1,0,1,0,1,0,11,0,0,0,0
Mike Jackson,CEO,1,0,1,0,1,0,12,0,0,0,0
Steve Ells,CEO,1,0,1,0,1,0,10,0,0,0,0
Alan Silbert,CEO,1,0,1,0,1,0,12,0,0,0,0
MIchael Dell,CEO,1,0,1,0,1,0,12,0,0,0,0
James Gorman,CEO,1,0,1,0,1,0,12,0,0,0,0
Tim Armstrong,CEO,1,0,1,0,1,0,13,0,0,0,0
Reed Hastings,CEO,1,0,1,0,1,0,13,0,0,0,0
Daniel Loeb,CEO,1,0,1,0,1,0,11,0,0,0,0
Don Thompson,CEO,1,0,1,0,1,0,12,0,0,0,0
Tim Cook,CEO,1,0,1,0,1,0,8,0,0,0,0
Julian Robertson,CEO,1,0,1,0,1,0,16,0,0,0,0
Terence Kawaja,CEO,1,0,1,0,1,0,14,0,0,0,0
Carsten Schloter,CEO,1,0,1,0,1,0,16,0,0,0,0
Mark Zuckerberg,CEO,1,0,1,0,1,0,15,0,0,0,0
Kevin Systrom,CEO,1,0,1,0,1,0,13,0,0,0,0
David Goldberg,CEO,1,0,1,0,1,0,14,0,0,0,0
Skiddy Stade,CEO,1,0,1,0,1,0,12,0,0,0,0
Yasuchika Hasegawa,CEO,1,0,1,0,1,0,18,0,0,0,0
Jim McNerney,CEO,1,0,1,0,1,0,12,0,0,0,0
Alan Mulally,CEO,1,0,1,0,1,0,12,0,0,0,0
Don Mattrick,CEO,1,0,1,0,1,0,12,0,0,0,0
Travis Kalanick,CEO,1,0,1,0,1,0,15,0,0,0,0
Steve Cohen,CEO,1,0,1,0,1,0,11,0,0,0,0
Donald Tomnitz,CEO,1,0,1,0,1,0,14,0,0,0,0
Richard Dugas,CEO,1,0,1,0,1,0,13,0,0,0,0
John McCarvel,CEO,1,0,1,0,1,0,13,0,0,0,0
Mark Papa,CEO,1,0,1,0,1,0,9,0,0,0,0
Dan Akerson,CEO,1,0,1,0,1,0,11,0,0,0,0
Steve Ballmer,CEO,1,0,1,0,1,0,13,0,0,0,0
Howard Schultz,CEO,1,0,1,0,1,0,14,0,0,0,0
Todd Ruppert,CEO,1,0,1,0,1,0,12,0,0,0,0
Patrick Byrne,CEO,1,0,1,0,1,0,13,0,0,0,0
Michael Johnson,CEO,1,0,1,0,1,0,15,0,0,0,0
Steve Wynn,CEO,1,0,1,0,1,0,10,0,0,0,0
Hank Greenberg,CEO,1,0,1,0,1,0,14,0,0,0,0
Michael Lynton,CEO,1,0,1,0,1,0,14,0,0,0,0
Amy Pascal,CEO,1,0,1,0,1,0,10,0,0,0,0
Antony Jenkins,CEO,1,0,1,0,1,0,14,0,0,0,0
Craig Pfeiffer,CEO,1,0,1,0,1,0,14,0,0,0,0
Jeff Weiner,CEO,1,0,1,0,1,0,11,0,0,0,0
Angela Ahrendts,CEO,1,0,1,0,1,0,15,0,0,0,0
Dave DeWalt,CEO,1,0,1,0,1,0,11,0,0,0,0
Sergio Ermotti,CEO,1,0,1,0,1,0,14,0,0,0,0
Jamie Dimon,CEO,1,0,1,0,1,0,11,0,0,0,0
Limin Li,CEO,1,0,1,0,1,0,8,0,0,0,0
Tom LaSorda,CEO,1,0,1,0,1,0,11,0,0,0,0
Sandy Weill,CEO,1,0,1,0,1,0,11,0,0,0,0
Steve Jobs,CEO,1,0,1,0,1,0,10,0,0,0,0
Frank Bennack Jr.,CEO,1,0,1,0,0,1,17,1,0,0,0
Bill Ackman,CEO,1,0,1,0,1,0,11,0,0,0,0
Mark Cohen,CEO,1,0,1,0,1,0,10,0,0,0,0
Ron Johnson,CEO,1,0,1,0,1,0,11,0,0,0,0
Jeff Gomez,CEO,1,0,1,0,1,0,10,0,0,0,0
Jack Welch,CEO,1,0,1,0,1,0,10,0,0,0,0
Mohamed El-Erian,CEO,1,0,1,0,1,0,16,0,0,1,0
Steve Brazier,CEO,1,0,1,0,1,0,13,0,0,0,0
Bill Ackman,CEO,1,0,1,0,1,0,11,0,0,0,0
Michael Corbat,CEO,1,0,1,0,1,0,14,0,0,0,0
Richard Handler,CEO,1,0,1,0,1,0,15,0,0,0,0
Jamie Dimon,CEO,1,0,1,0,1,0,11,0,0,0,0
Brian Moynihan,CEO,1,0,1,0,1,0,14,0,0,0,0
David Einhorn,CEO,1,0,1,0,1,0,13,0,0,0,0
Tim Cook,CEO,1,0,1,0,1,0,8,0,0,0,0
Patti Hart,CEO,1,0,1,0,1,0,10,0,0,0,0
Chuck Mathewson,CEO,1,0,1,0,1,0,15,0,0,0,0
Rosalind Brewer,CEO,1,0,1,0,1,0,15,0,0,0,0
Andrei Kostin,CEO,1,0,1,0,1,0,13,0,0,0,0
Dwaine van Vuuren,CEO,1,0,1,0,0,1,17,0,0,0,0
Ric Edelman,CEO,1,0,1,0,1,0,11,0,0,0,0
Dan Doctoroff,CEO,1,0,1,0,1,0,13,0,0,0,0
Richard Ketchum,CEO,1,0,1,0,1,0,15,0,0,0,0
Gene Friedman,CEO,1,0,1,0,1,0,13,0,0,0,0
Howard Schultz,CEO,1,0,1,0,1,0,14,0,0,0,0
Mike Ullman,CEO,1,0,1,0,1,0,11,0,0,0,0
Daniel Baker,CEO,1,0,1,0,1,0,12,0,0,0,0
Paul Itellini,CEO,1,0,1,0,1,0,13,0,0,0,0
James Gorman,CEO,1,0,1,0,1,0,12,0,0,0,0
Larry Ellison,CEO,1,0,1,0,1,0,13,0,0,0,0
Thor Halvorssen,CEO,1,0,1,0,1,0,15,0,0,0,0
Mikhail Khodorkovsky,CEO,1,0,1,0,1,0,20,0,0,0,0
Jeff Bezos,CEO,1,0,1,0,1,0,10,0,0,0,0
Elon Musk,CEO,1,0,1,0,1,0,9,0,0,0,0
James Gorman,CEO,1,0,1,0,1,0,12,0,0,0,0
John Mack,CEO,1,0,1,0,1,0,9,0,0,0,0
Larry Page,CEO,1,0,1,0,1,0,10,0,0,0,0
Reed Hastings,CEO,1,0,1,0,1,0,13,0,0,0,0
Dan Bauer,CEO,1,0,1,0,1,0,9,0,0,0,0
Tim Clark,CEO,1,0,1,0,1,0,9,0,0,0,0
Alan Mulally,CEO,1,0,1,0,1,0,12,0,0,0,0
Lance Roberts,CEO,1,0,1,0,1,0,13,0,0,0,0
Warren Buffett,CEO,1,0,1,0,1,0,14,0,0,0,0
Fred Laluyaux,CEO,1,0,1,0,1,0,13,0,0,0,0
Meg Whiteman,CEO,1,0,1,0,1,0,12,0,0,0,0
Divya Narendra,CEO,1,0,1,0,1,0,14,0,0,0,0
Anthony Scaramucci,CEO,1,0,1,0,1,0,18,0,0,0,0
John Thain,CEO,1,0,1,0,1,0,10,0,0,0,0
Duncan Niederauer,CEO,1,0,1,0,1,0,17,0,0,0,0
Randall Stephenson,CEO,1,0,1,0,1,0,18,0,0,0,0
Sergio Machionne,CEO,1,0,1,0,1,0,16,0,0,0,0
Robert Niblock,CEO,1,0,1,0,1,0,14,0,0,0,0
David Lenhardt,CEO,1,0,1,0,1,0,14,0,0,0,0
John Mulligan,CEO,1,0,1,0,1,0,13,0,0,0,0
Aleksey Miller,CEO,1,0,1,0,1,0,14,0,0,0,0
Howard Lutnick,CEO,1,0,1,0,1,0,14,0,0,0,0
Yuriy Kosyuk,CEO,1,0,1,0,1,0,12,0,0,0,0
Nick Black,CEO,1,0,1,0,1,0,10,0,0,0,0
Niall Wass,CEO,1,0,1,0,1,0,10,0,0,0,0
Geoffrey Brown,CEO,1,0,1,0,1,0,14,0,0,0,0
Spencer Rascoff,CEO,1,0,1,0,1,0,15,0,0,0,0
Stuart Miler,CEO,1,0,1,0,1,0,12,0,0,0,0
Kathy Savitt,CEO,1,0,1,0,1,0,12,0,0,0,0
Mark Karpelis,CEO,1,0,1,0,1,0,13,0,0,0,0
Ginni Rometty,CEO,1,0,1,0,1,0,13,0,0,0,0
Michael Pearson,CEO,1,0,1,0,1,0,15,0,0,0,0
Skiddy von Stade,CEO,1,0,1,0,0,1,16,0,0,0,0
Alaa Karam Allah,CEO,1,0,1,0,0,1,16,0,0,0,0
Satya Nadella,CEO,1,0,1,0,1,0,13,0,0,0,0
Mario Gabelli,CEO,1,0,1,0,1,0,13,0,0,0,0
Sheehan,CEO,1,0,1,1,0,0,7,0,0,0,0
Mark Zuckerberg,CEO,1,0,1,0,1,0,15,0,0,0,0
Sunny Lee,CEO,1,0,1,0,1,0,9,0,0,0,0
Nick Hayek,CEO,1,0,1,0,1,0,10,0,0,0,0
Andy Mooney,CEO,1,0,1,0,1,0,11,0,0,0,0
Michael O'Leary,CEO,1,0,1,0,1,0,15,0,0,0,0
John Chambers,CEO,1,0,1,0,1,0,13,0,0,0,0
Joe Tucci,CEO,1,0,1,0,1,0,9,0,0,0,0
Larry Ellison,CEO,1,0,1,0,1,0,13,0,0,0,0
Dave Kennedy,CEO,1,0,1,0,1,0,12,0,0,0,0
Mark Hurd,CEO,1,0,1,0,1,0,9,0,0,0,0
Safra Catz,CEO,1,0,1,0,1,0,10,0,0,0,0
Joe Mansueto,CEO,1,0,1,0,1,0,12,0,0,0,0
Elizabeth Holmes,CEO,1,0,1,0,1,0,16,0,0,0,0
Karen Barr,CEO,1,0,1,0,1,0,10,0,0,0,0
Dov Charney,CEO,1,0,1,0,1,0,11,0,0,0,0
Emil Brolick,CEO,1,0,1,0,1,0,12,0,0,0,0
Lei Jun,CEO,1,0,1,0,1,0,7,0,0,0,0
Sean McCartyh,CEO,1,0,1,0,1,0,13,0,0,0,0
Andrew Heiberger,CEO,1,0,1,0,1,0,16,0,0,0,0
Michael Johnson,CEO,1,0,1,0,1,0,15,0,0,0,0
Barry Silbert,CEO,1,0,1,0,1,0,13,0,0,0,0
Lyndon Rive,CEO,1,0,1,0,1,0,11,0,0,0,0
Nick Taranto,CEO,1,0,1,0,1,0,12,0,0,0,0
Josh Hix,CEO,1,0,1,0,1,0,8,0,0,0,0
John Donahoe,CEO,1,0,1,0,1,0,12,0,0,0,0
Brin,CEO,1,0,1,1,0,0,4,0,0,0,0
Zuckerberg,CEO,1,0,1,1,0,0,10,0,0,0,0
Gabelli,CEO,1,0,1,1,0,0,7,0,0,0,0
Mattrick,CEO,1,0,1,1,0,0,8,0,0,0,0
Weiner,CEO,1,0,1,1,0,0,6,0,0,0,0
Ells,CEO,1,0,1,1,0,0,4,0,0,0,0
Mayer,CEO,1,0,1,1,0,0,5,0,0,0,0
Olsson,CEO,1,0,1,1,0,0,6,0,0,0,0
Watson,CEO,1,0,1,1,0,0,6,0,0,0,0
Zuckerman,CEO,1,0,1,1,0,0,9,0,0,0,0
Page,CEO,1,0,1,1,0,0,4,0,0,0,0
Mulally,CEO,1,0,1,1,0,0,7,0,0,0,0
Edelman,CEO,1,0,1,1,0,0,7,0,0,0,0
Jacobs,CEO,1,0,1,1,0,0,6,0,0,0,0
Blankfein,CEO,1,0,1,1,0,0,9,0,0,0,0
Schultz,CEO,1,0,1,1,0,0,7,0,0,0,0
Davis,CEO,1,0,1,1,0,0,5,0,0,0,0
Benioff,CEO,1,0,1,1,0,0,7,0,0,0,0
Echevarria,CEO,1,0,1,1,0,0,10,0,0,0,0
Donahoe,CEO,1,0,1,1,0,0,7,0,0,0,0
Iger,CEO,1,0,1,1,0,0,4,0,0,0,0
Crenshaw,CEO,1,0,1,1,0,0,8,0,0,0,0
Bezos,CEO,1,0,1,1,0,0,5,0,0,0,0
Rust,CEO,1,0,1,1,0,0,4,0,0,0,0
Turney,CEO,1,0,1,1,0,0,6,0,0,0,0
Sorenson,CEO,1,0,1,1,0,0,8,0,0,0,0
Coe,CEO,1,0,1,1,0,0,3,0,0,0,0
Moran,CEO,1,0,1,1,0,0,5,0,0,0,0
Blake,CEO,1,0,1,1,0,0,5,0,0,0,0
Doctoroff,CEO,1,0,1,1,0,0,9,0,0,0,0
Immelt,CEO,1,0,1,1,0,0,6,0,0,0,0
Joly,CEO,1,0,1,1,0,0,4,0,0,0,0
McNabb,CEO,1,0,1,1,0,0,6,0,0,0,0
Amos,CEO,1,0,1,1,0,0,4,0,0,0,0
Hesse,CEO,1,0,1,1,0,0,5,0,0,0,0
Chenault,CEO,1,0,1,1,0,0,8,0,0,0,0
Mattrick,CEO,1,0,1,1,0,0,8,0,0,0,0
Gabelli,CEO,1,0,1,1,0,0,7,0,0,0,0
Ellison,CEO,1,0,1,1,0,0,7,0,0,0,0
Moonves,CEO,1,0,1,1,0,0,7,0,0,0,0
Rothblatt,CEO,1,0,1,1,0,0,9,0,0,0,0
Dauman,CEO,1,0,1,1,0,0,6,0,0,0,0
Friedman,CEO,1,0,1,1,0,0,8,0,0,0,0
Schleifer,CEO,1,0,1,1,0,0,9,0,0,0,0
Clarke,CEO,1,0,1,1,0,0,6,0,0,0,0
Bewkes,CEO,1,0,1,1,0,0,6,0,0,0,0
Benioff,CEO,1,0,1,1,0,0,7,0,0,0,0
Freda,CEO,1,0,1,1,0,0,5,0,0,0,0
Bertolini,CEO,1,0,1,1,0,0,9,0,0,0,0
Albrecht,CEO,1,0,1,1,0,0,8,0,0,0,0
Aquila,CEO,1,0,1,1,0,0,6,0,0,0,0
Legere,CEO,1,0,1,1,0,0,6,0,0,0,0
Ricci,CEO,1,0,1,1,0,0,5,0,0,0,0
Tillerson,CEO,1,0,1,1,0,0,9,0,0,0,0
Roberts,CEO,1,0,1,1,0,0,7,0,0,0,0
Murdoch,CEO,1,0,1,1,0,0,7,0,0,0,0
Cote,CEO,1,0,1,1,0,0,4,0,0,0,0
Farr,CEO,1,0,1,1,0,0,4,0,0,0,0
Scharf,CEO,1,0,1,1,0,0,6,0,0,0,0
Olsson,CEO,1,0,1,1,0,0,6,0,0,0,0
McNerney,CEO,1,0,1,1,0,0,8,0,0,0,0
Meyer,CEO,1,0,1,1,0,0,5,0,0,0,0
Fink,CEO,1,0,1,1,0,0,4,0,0,0,0
Merlo,CEO,1,0,1,1,0,0,5,0,0,0,0
Lawler,CEO,1,0,1,1,0,0,6,0,0,0,0
Och,CEO,1,0,1,1,0,0,3,0,0,0,0
Kibsgaard,CEO,1,0,1,1,0,0,9,0,0,0,0
Chenault,CEO,1,0,1,1,0,0,8,0,0,0,0
Nelms,CEO,1,0,1,1,0,0,5,0,0,0,0
Chambers,CEO,1,0,1,1,0,0,8,0,0,0,0
Lesar,CEO,1,0,1,1,0,0,5,0,0,0,0
Stephenson,CEO,1,0,1,1,0,0,10,0,0,0,0
Liveris,CEO,1,0,1,1,0,0,7,0,0,0,0
Galant,CEO,1,0,1,1,0,0,6,0,0,0,0
Lance,CEO,1,0,1,1,0,0,5,0,0,0,0
Wynn,CEO,1,0,1,1,0,0,4,0,0,0,0
Stumpf,CEO,1,0,1,1,0,0,6,0,0,0,0
Immelt,CEO,1,0,1,1,0,0,6,0,0,0,0
Chapman,CEO,1,0,1,1,0,0,7,0,0,0,0
Murphy,CEO,1,0,1,1,0,0,6,0,0,0,0
Niblock,CEO,1,0,1,1,0,0,7,0,0,0,0
Kramer,CEO,1,0,1,1,0,0,6,0,0,0,0
Chenevert,CEO,1,0,1,1,0,0,9,0,0,0,0
Kent,CEO,1,0,1,1,0,0,4,0,0,0,0
Wren,CEO,1,0,1,1,0,0,4,0,0,0,0
Sprecher,CEO,1,0,1,1,0,0,8,0,0,0,0
Plant,CEO,1,0,1,1,0,0,5,0,0,0,0
Read,CEO,1,0,1,1,0,0,4,0,0,0,0
McGee,CEO,1,0,1,1,0,0,5,0,0,0,0
Parker,CEO,1,0,1,1,0,0,6,0,0,0,0
Whitman,CEO,1,0,1,1,0,0,7,0,0,0,0
Fishman,CEO,1,0,1,1,0,0,7,0,0,0,0
Corbat,CEO,1,0,1,1,0,0,6,0,0,0,0
Barrington,CEO,1,0,1,1,0,0,10,0,0,0,0
Swanson,CEO,1,0,1,1,0,0,7,0,0,0,0
Brock,CEO,1,0,1,1,0,0,5,0,0,0,0
Sullivan,CEO,1,0,1,1,0,0,8,0,0,0,0
Casper,CEO,1,0,1,1,0,0,6,0,0,0,0
McGregor,CEO,1,0,1,1,0,0,8,0,0,0,0
Dolan,CEO,1,0,1,1,0,0,5,0,0,0,0
Allan Mulally,CEO,1,0,1,0,1,0,13,0,0,0,0
Bill Ackman,CEO,1,0,1,0,1,0,11,0,0,0,0
Dan Akerson,CEO,1,0,1,0,1,0,11,0,0,0,0
Peter Arduini,CEO,1,0,1,0,1,0,13,0,0,0,0
Tim Armstrong,CEO,1,0,1,0,1,0,13,0,0,0,0
Steve Ballmer,CEO,1,0,1,0,1,0,13,0,0,0,0
Don Baur,CEO,1,0,1,0,1,0,8,0,0,0,0
George Bell,CEO,1,0,1,0,1,0,11,0,0,0,0
Mark Benioff,CEO,1,0,1,0,1,0,12,0,0,0,0
Bob Benmosche,CEO,1,0,1,0,1,0,13,0,0,0,0
